,id,host_id,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,with_wifi,with_air_conditioning,with_cable_tv,pets_allowed
4936,25459169,183402283,within an hour,100.0,0.0,5.0,5.0,1.0,0.0,Ocean View,37.71298,-122.45903,0.0,House,Private room,2,1.0,1.0,1.0,Real Bed,70.0,0.0,25.0,1,10.0,1,28,1,1,28,28,1.0,28.0,3 days ago,8,38,58,148,1.0,0.0,strict_14_with_grace_period,0.0,0.0,5,1,4,0,3.13,1.0,0.0,0.0,0.0
4937,25480815,156365053,within an hour,100.0,0.0,5.0,5.0,1.0,0.0,Russian Hill,37.80359,-122.42351000000001,0.0,Apartment,Entire home/apt,2,1.0,0.0,2.0,Real Bed,150.0,0.0,180.0,1,5.0,30,1125,30,30,1125,1125,30.0,1125.0,today,12,42,72,347,1.0,1.0,strict_14_with_grace_period,0.0,0.0,1,1,0,0,0.14,1.0,0.0,0.0,0.0
4938,25485559,156102468,within an hour,100.0,0.0,3.0,3.0,1.0,1.0,Outer Mission,37.727740000000004,-122.43396000000001,0.0,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,69.0,100.0,30.0,1,0.0,2,21,2,2,21,21,2.0,21.0,3 weeks ago,7,37,67,67,1.0,1.0,moderate,0.0,0.0,3,0,3,0,0.92,1.0,0.0,0.0,0.0
4939,25511111,236978,within an hour,100.0,1.0,4.0,4.0,1.0,1.0,Mission,37.7621,-122.4166,1.0,Guest suite,Entire home/apt,4,1.0,2.0,2.0,Real Bed,335.0,100.0,109.0,4,115.0,1,1125,1,1,1125,1125,1.0,1125.0,4 days ago,4,22,49,151,1.0,0.0,moderate,0.0,0.0,4,4,0,0,6.29,1.0,0.0,0.0,0.0
4940,25511306,4917431,within a day,50.0,0.0,1.0,1.0,1.0,1.0,Castro/Upper Market,37.7601,-122.43777,1.0,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,425.0,,120.0,1,0.0,2,1125,2,2,1125,1125,2.0,1125.0,2 weeks ago,3,11,26,287,1.0,0.0,moderate,0.0,0.0,1,1,0,0,1.33,1.0,0.0,0.0,0.0
4941,25518503,62826939,within an hour,100.0,1.0,1.0,1.0,1.0,1.0,Bayview,37.73787,-122.38836,1.0,House,Entire home/apt,5,1.0,3.0,3.0,Real Bed,350.0,,200.0,5,25.0,2,1125,2,2,1125,1125,2.0,1125.0,3 weeks ago,2,23,53,194,1.0,1.0,strict_14_with_grace_period,0.0,0.0,1,1,0,0,1.57,1.0,1.0,0.0,0.0
4942,25545349,147523325,within an hour,100.0,1.0,2.0,2.0,1.0,0.0,South of Market,37.78322,-122.39846000000001,1.0,Apartment,Shared room,1,1.0,1.0,1.0,Real Bed,45.0,150.0,70.0,1,15.0,30,120,30,30,120,120,30.0,120.0,4 weeks ago,1,1,1,1,1.0,0.0,strict_14_with_grace_period,0.0,0.0,2,0,1,1,0.29,1.0,0.0,0.0,0.0
4943,25547078,48005494,within an hour,100.0,1.0,1735.0,1735.0,1.0,1.0,Nob Hill,37.790890000000005,-122.42074,0.0,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,171.0,500.0,240.0,1,0.0,30,1125,30,30,1125,1125,30.0,1125.0,5 days ago,2,32,62,337,1.0,0.0,moderate,0.0,0.0,248,248,0,0,0.08,1.0,0.0,1.0,1.0
4944,25547138,48005494,within an hour,100.0,1.0,1735.0,1735.0,1.0,1.0,Nob Hill,37.791,-122.42062,0.0,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,171.0,500.0,240.0,1,0.0,30,1125,30,30,1125,1125,30.0,1125.0,5 days ago,0,0,7,282,1.0,0.0,moderate,0.0,0.0,248,248,0,0,,1.0,0.0,1.0,1.0
4945,25547214,48005494,within an hour,100.0,1.0,1735.0,1735.0,1.0,1.0,Nob Hill,37.79124,-122.42093,0.0,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,171.0,500.0,240.0,1,0.0,30,1125,30,30,1125,1125,30.0,1125.0,3 months ago,0,0,0,252,1.0,0.0,moderate,0.0,0.0,248,248,0,0,0.3,1.0,0.0,1.0,1.0
